Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00672	-0.571	-0.481	0.0	0.481	0.571
C00673	-3.918	-3.824	-3.322	-2.82	-2.726
C01251	-4.815	-4.788	-4.644	-4.5	-4.473
C01250	-0.499	-0.421	0.0	0.421	0.499
C01929	0.0	0.0	0.0	0.0	0.0
C05936	4.503	4.529	4.672	4.815	4.841
C00106	-0.564	-0.475	0.0	0.475	0.564
C00105	-0.361	-0.304	0.0	0.304	0.361
C00103	-0.561	-0.472	0.0	0.472	0.561
C00100	-0.489	-0.411	0.0	0.411	0.489
C00101	-3.286	-3.211	-2.807	-2.403	-2.328
C15556	-0.589	-0.496	0.0	0.496	0.589
C00109	-3.378	-3.288	-2.807	-2.326	-2.236
C04702	-0.585	-0.493	0.0	0.493	0.585
C00363	-4.779	-4.748	-4.585	-4.422	-4.391
C15980	0.0	0.0	0.0	0.0	0.0
C05764	-0.581	-0.489	0.0	0.489	0.581
C06899	4.405	4.433	4.585	4.737	4.765
C05761	-0.581	-0.489	0.0	0.489	0.581
C05760	-0.596	-0.502	0.0	0.502	0.596
C05763	-0.596	-0.502	0.0	0.502	0.596
C05762	-0.538	-0.453	0.0	0.453	0.538
C00361	-2.14	-2.052	-1.585	-1.118	-1.03
C00170	-0.285	-0.24	0.0	0.24	0.285
C02670	4.503	4.529	4.672	4.815	4.841
C02992	-4.581	-4.551	-4.392	-4.233	-4.203
C00179	-0.585	-0.493	0.0	0.493	0.585
C00178	0.0	0.0	0.0	0.0	0.0
C02995	-3.911	-3.818	-3.322	-2.826	-2.733
C00447	0.0	0.0	0.0	0.0	0.0
C03090	-0.503	-0.424	0.0	0.424	0.503
C04260	-5.312	-5.29	-5.17	-5.05	-5.028
C07086	-4.724	-4.697	-4.5545	-4.412	-4.385
C01077	4.532	4.558	4.7	4.842	4.868
C02972	4.406	4.434	4.585	4.736	4.764
C11434	0.0	0.0	0.0	0.0	0.0
C11435	-0.412	-0.347	0.0	0.347	0.412
C11436	-0.411	-0.346	0.0	0.346	0.411
C00857	0.42	0.511	1.0	1.489	1.58
C02412	-5.177	-5.156	-5.044	-4.932	-4.911
C00853	4.414	4.441	4.585	4.729	4.756
C01179	0.0	0.0	0.0	0.0	0.0
C04823	-0.587	-0.494	0.0	0.494	0.587
C01170	0.0	0.0	0.0	0.0	0.0
C04411	-3.081	-3.002	-2.585	-2.168	-2.089
C01172	-3.638	-3.564	-3.17	-2.776	-2.702
C00473	4.405	4.433	4.585	4.737	4.765
C03892	-4.648	-4.618	-4.459	-4.3	-4.27
C00681	-3.556	-3.468	-3.0	-2.532	-2.444
C00680	1.488	1.569	2.0	2.431	2.512
C04556	0.0	0.0	0.0	0.0	0.0
C02411	-4.756	-4.729	-4.585	-4.441	-4.414
C02839	-4.767	-4.738	-4.585	-4.432	-4.403
C04257	4.411	4.439	4.585	4.731	4.759
C00689	2.223	2.315	2.807	3.299	3.391
C05271	0.0	0.0	0.0	0.0	0.0
C05270	0.0	0.0	0.0	0.0	0.0
C02554	-4.812	-4.786	-4.644	-4.502	-4.476
C00512	-4.704	-4.676	-4.524	-4.372	-4.344
C16220	-0.589	-0.496	0.0	0.496	0.589
C00921	-0.576	-0.485	0.0	0.485	0.576
C04294	4.333	4.363	4.524	4.685	4.715
C00458	4.041	4.126	4.585	5.044	5.129
C04895	-4.767	-4.739	-4.585	-4.431	-4.403
C04896	-0.574	-0.484	0.0	0.484	0.574
C00376	-4.765	-4.737	-4.585	-4.433	-4.405
C04488	-5.219	-5.198	-5.087	-4.976	-4.955
C00455	4.407	4.435	4.585	4.735	4.763
C01697	5.296	5.317	5.426	5.535	5.556
C15972	2.41	2.503	3.0	3.497	3.59
C16618	-0.581	-0.49	0.0	0.49	0.581
C00330	4.632	4.659	4.807	4.955	4.982
C00332	-0.361	-0.304	0.0	0.304	0.361
C00334	-0.534	-0.45	0.0	0.45	0.534
C00337	-0.51	-0.43	0.0	0.43	0.51
C05699	4.211	4.24	4.392	4.544	4.573
C04688	-0.589	-0.496	0.0	0.496	0.589
C04122	-1.598	-1.504	-1.0	-0.496	-0.402
C00636	0.0	0.0	0.0	0.0	0.0
C00637	4.503	4.529	4.672	4.815	4.841
C00630	4.477	4.503	4.644	4.785	4.811
C00631	-0.056	-0.047	0.0	0.047	0.056
C02527	0.0	0.0	0.0	0.0	0.0
C16221	-0.596	-0.502	0.0	0.502	0.596
C00208	5.244	5.262	5.358	5.454	5.472
C01001	0.0	0.0	0.0	0.0	0.0
C05985	4.503	4.529	4.672	4.815	4.841
C00204	-1.373	-1.314	-1.0	-0.686	-0.627
C01212	-1.534	-1.45	-1.0	-0.55	-0.466
C07490	-4.765	-4.737	-4.585	-4.433	-4.405
C01217	4.955	4.976	5.087	5.198	5.219
C00025	-0.523	-0.44	0.0	0.44	0.523
C00024	-0.529	-0.445	0.0	0.445	0.529
C00148	1.099	1.176	1.585	1.994	2.071
C00026	-0.52	-0.438	0.0	0.438	0.52
C00021	-0.54	-0.455	0.0	0.455	0.54
C00020	-1.273	-1.23	-1.0	-0.77	-0.727
C00022	-1.043	-0.957	-0.5	-0.043	0.043
C00143	1.178	1.242	1.585	1.928	1.992
C00140	4.398	4.427	4.585	4.743	4.772
C00141	2.281	2.364	2.807	3.25	3.333
C00029	3.03	3.118	3.585	4.052	4.14
C00147	-0.455	-0.383	0.0	0.383	0.455
C00144	-4.877	-4.789	-4.322	-3.855	-3.767
C03740	-4.869	-4.843	-4.7	-4.557	-4.531
C01079	-4.863	-4.837	-4.7	-4.563	-4.537
C05748	-0.596	-0.502	0.0	0.502	0.596
C05807	4.413	4.44	4.585	4.73	4.757
C05729	2.596	2.687	3.17	3.653	3.744
C04631	-0.561	-0.472	0.0	0.472	0.561
C11437	-0.199	-0.168	0.0	0.168	0.199
C00644	-3.483	-3.391	-2.9035	-2.416	-2.324
C06319	0.0	0.0	0.0	0.0	0.0
C02739	-2.792	-2.718	-2.322	-1.926	-1.852
C00647	0.0	0.0	0.0	0.0	0.0
C05726	-5.302	-5.281	-5.17	-5.059	-5.038
C00705	-3.144	-3.056	-2.585	-2.114	-2.026
C06250	-4.376	-4.286	-3.807	-3.328	-3.238
C01242	0.0	0.0	0.0	0.0	0.0
C02631	0.0	0.0	0.0	0.0	0.0
C02637	0.0	0.0	0.0	0.0	0.0
C03194	4.393	4.423	4.585	4.747	4.777
C04419	2.615	2.703	3.17	3.637	3.725
C01528	-4.823	-4.795	-4.644	-4.493	-4.465
C02938	4.385	4.412	4.5545	4.697	4.724
C00750	0.0	0.0	0.0	0.0	0.0
C04752	-0.592	-0.499	0.0	0.499	0.592
C04751	-0.599	-0.505	0.0	0.505	0.599
C00763	1.989	2.083	2.585	3.087	3.181
C01134	-4.017	-3.929	-3.459	-2.989	-2.901
C01137	-0.526	-0.443	0.0	0.443	0.526
C00092	-5.638	-5.62	-5.524	-5.428	-5.41
C06035	0.0	0.0	0.0	0.0	0.0
C02226	0.0	0.0	0.0	0.0	0.0
C03511	-4.869	-4.843	-4.7	-4.557	-4.531
C03512	-4.784	-4.752	-4.585	-4.418	-4.386
C06033	0.0	0.0	0.0	0.0	0.0
C12147	1.007	1.098	1.585	2.072	2.163
C00329	4.993	5.014	5.129	5.244	5.265
C04462	-0.377	-0.318	0.0	0.318	0.377
C06408	4.518	4.546	4.7	4.854	4.882
C02741	0.0	0.0	0.0	0.0	0.0
C06407	-0.59	-0.497	0.0	0.497	0.59
C06406	4.518	4.547	4.7	4.853	4.882
C20373	-0.589	-0.496	0.0	0.496	0.589
C20372	-0.584	-0.492	0.0	0.492	0.584
C20377	-0.589	-0.496	0.0	0.496	0.589
C20376	-0.584	-0.492	0.0	0.492	0.584
C20375	4.477	4.503	4.644	4.785	4.811
C20374	-4.969	-4.944	-4.807	-4.67	-4.645
C05897	-0.571	-0.481	0.0	0.481	0.571
C20378	-4.969	-4.944	-4.807	-4.67	-4.645
C00804	-4.841	-4.815	-4.672	-4.529	-4.503
C00969	4.296	4.322	4.459	4.596	4.622
C11545	0.41	0.503	1.0	1.497	1.59
C00966	-0.503	-0.424	0.0	0.424	0.503
C11540	-0.59	-0.497	0.0	0.497	0.59
C11542	-0.574	-0.483	0.0	0.483	0.574
C11543	-0.56	-0.471	0.0	0.471	0.56
C02282	0.0	0.0	0.0	0.0	0.0
C04916	1.992	2.086	2.585	3.084	3.178
C00415	-4.735	-4.707	-4.5545	-4.402	-4.374
C00416	-2.99	-2.905	-2.4535	-2.002	-1.917
C00417	0.0	0.0	0.0	0.0	0.0
C03460	-4.811	-4.785	-4.644	-4.503	-4.477
C04851	-0.571	-0.481	0.0	0.481	0.571
C03345	0.0	0.0	0.0	0.0	0.0
C00993	-1.598	-1.504	-1.0	-0.496	-0.402
C00620	4.906	4.927	5.044	5.161	5.182
C11355	-3.77	-3.675	-3.17	-2.665	-2.57
C05951	-4.869	-4.843	-4.7	-4.557	-4.531
C05576	0.0	0.0	0.0	0.0	0.0
C05577	0.0	0.0	0.0	0.0	0.0
C03263	4.537	4.563	4.7	4.837	4.863
C00378	0.0	0.0	0.0	0.0	0.0
C00242	1.861	1.954	2.4535	2.953	3.046
C00245	4.531	4.557	4.7	4.843	4.869
C00246	0.0	0.0	0.0	0.0	0.0
C00624	0.41	0.503	1.0	1.497	1.59
C16587	-4.765	-4.737	-4.585	-4.433	-4.405
C02170	-4.841	-4.815	-4.672	-4.529	-4.503
C00568	-1.877	-1.785	-1.2925	-0.8	-0.708
C01099	4.41	4.438	4.585	4.732	4.76
C01097	4.847	4.871	5.0	5.129	5.153
C01096	-4.512	-4.416	-3.907	-3.398	-3.302
C01094	-3.182	-3.088	-2.585	-2.082	-1.988
C05682	4.453	4.479	4.6145	4.75	4.776
C00341	0.0	0.0	0.0	0.0	0.0
C00342	3.319	3.412	3.907	4.402	4.495
C00343	-4.499	-4.405	-3.907	-3.409	-3.315
C00344	4.54	4.565	4.7	4.835	4.86
C05684	4.465	4.493	4.644	4.795	4.823
C00061	0.0	0.0	0.0	0.0	0.0
C00060	-4.724	-4.697	-4.5545	-4.412	-4.385
C00063	5.601	5.616	5.7	5.784	5.799
C00062	5.023	5.047	5.17	5.293	5.317
C00065	2.509	2.586	3.0	3.414	3.491
C00064	3.305	3.384	3.807	4.23	4.309
C11811	-0.58	-0.489	0.0	0.489	0.58
C16633	4.396	4.426	4.585	4.744	4.774
C04675	4.406	4.434	4.585	4.736	4.764
C16631	-4.747	-4.717	-4.5545	-4.392	-4.362
C04677	-2.92	-2.825	-2.322	-1.819	-1.724
C16635	4.336	4.366	4.524	4.682	4.712
C16634	-4.774	-4.744	-4.585	-4.426	-4.396
C19673	4.477	4.503	4.644	4.785	4.811
C03752	5.464	5.483	5.585	5.687	5.706
C05923	0.0	0.0	0.0	0.0	0.0
C05922	0.0	0.0	0.0	0.0	0.0
C05921	0.0	0.0	0.0	0.0	0.0
C00748	0.0	0.0	0.0	0.0	0.0
C04079	4.412	4.439	4.585	4.731	4.758
C00668	-4.251	-4.164	-3.7	-3.236	-3.149
C01268	0.0	0.0	0.0	0.0	0.0
C00666	0.457	0.543	1.0	1.457	1.543
C00663	-0.571	-0.481	0.0	0.481	0.571
C02163	-4.784	-4.757	-4.6145	-4.472	-4.445
C00988	4.417	4.443	4.585	4.727	4.753
C00989	4.407	4.435	4.585	4.735	4.763
C00114	-4.779	-4.748	-4.585	-4.422	-4.391
C00117	-3.758	-3.665	-3.17	-2.675	-2.582
C00116	0.0	0.0	0.0	0.0	0.0
C00111	-0.428	-0.361	0.0	0.361	0.428
C02380	4.344	4.372	4.524	4.676	4.704
C00112	-0.562	-0.473	0.0	0.473	0.562
C00119	1.901	1.968	2.322	2.676	2.743
C00118	2.047	2.132	2.585	3.038	3.123
C06416	-4.649	-4.619	-4.459	-4.299	-4.269
C11929	4.414	4.441	4.585	4.729	4.756
C01346	-3.106	-3.024	-2.585	-2.146	-2.064
C11924	-4.841	-4.815	-4.672	-4.529	-4.503
C05750	-0.538	-0.453	0.0	0.453	0.538
C05751	-0.596	-0.502	0.0	0.502	0.596
C14145	4.417	4.443	4.585	4.727	4.753
C05753	-0.538	-0.453	0.0	0.453	0.538
C05754	-0.596	-0.502	0.0	0.502	0.596
C05755	-0.581	-0.489	0.0	0.489	0.581
C05756	-0.584	-0.492	0.0	0.492	0.584
C05757	-0.589	-0.496	0.0	0.496	0.589
C05758	-0.596	-0.502	0.0	0.502	0.596
C05759	-0.584	-0.492	0.0	0.492	0.584
